Company,Last Name,Phone,Street,City,State,Lead Source,Lead Status,Description
Punchout Landscaping & Construction LLC,Punchout Landscaping & Construction LLC,(480) 204-6617,,Phoenix,AZ,,,"Pre-qualified outbound lead from the no-website website pipeline.
Trade: Landscaper
Business status: open
Website verification: verified_no_website
Verification notes: No website on Google Maps and no likely official website found in web search.
Google Maps: https://www.google.com/maps/place/Punchout+Landscaping+%26+Construction+LLC/data=!4m7!3m6!1s0x84f9ccdb8711d209:0xbe0c8ed2b281ee39!8m2!3d33.485838!4d-112.181989!16s%2Fg%2F11rnp_bf2n!19sChIJCdIRh9vM-YQROe6BstKODL4?authuser=0
Source query: landscaper in Phoenix AZ
Internal notes: Scraped from Google Maps detail page."
Royalty Landscape Creations LLC,Royalty Landscape Creations LLC,(480) 842-0351,,Phoenix,AZ,,,"Pre-qualified outbound lead from the no-website website pipeline.
Trade: Landscaper
Business status: open
Website verification: verified_no_website
Verification notes: No website on Google Maps and no likely official website found in web search.
Google Maps: https://www.google.com/maps/place/Royalty+Landscape+Creations+LLC/data=!4m7!3m6!1s0x2c4740a88251c097:0x2bc4734351cb6763!8m2!3d34.168035!4d-111.9307474!16s%2Fg%2F11w9fdlhrj!19sChIJl8BRgqhARywRY2fLUUNzxCs?authuser=0
Source query: landscaper in Phoenix AZ
Internal notes: Scraped from Google Maps detail page."
los Parientes Landscaping LLC,los Parientes Landscaping LLC,(602) 334-3831,"2531 E Southgate Ave, Phoenix, AZ 85040",Phoenix,AZ,,,"Pre-qualified outbound lead from the no-website website pipeline.
Trade: Landscaper
Business status: open
Website verification: verified_no_website
Verification notes: No website on Google Maps and no likely official website found in web search.
Google Maps: https://www.google.com/maps/place/los+Parientes+Landscaping+LLC/data=!4m7!3m6!1s0x872b0fe70b83196b:0x4a3e5687cdfe8ce6!8m2!3d33.4097178!4d-112.0263117!16s%2Fg%2F11mt5pz3sl!19sChIJaxmDC-cPK4cR5oz-zYdWPko?authuser=0
Source query: landscaper in Phoenix AZ
Internal notes: Scraped from Google Maps detail page."
24 HR Emergency Plumber Phoenix Inc,24 HR Emergency Plumber Phoenix Inc,(602) 806-7614,"7250 N 16th St ste 48, Phoenix, AZ 85020",Phoenix,AZ,,,"Pre-qualified outbound lead from the no-website website pipeline.
Trade: Plumber
Business status: open
Website verification: verified_no_website
Verification notes: No website on Google Maps and no likely official website found in web search.
Google Maps: https://www.google.com/maps/place/24+HR+Emergency+Plumber+Phoenix+Inc/data=!4m7!3m6!1s0x89e371f815740daf:0x99469ece78d40dff!8m2!3d33.5433272!4d-112.0478351!16s%2Fg%2F11sympvx0b!19sChIJrw10Ffhx44kR_w3UeM6eRpk?authuser=0
Source query: plumber in Phoenix AZ
Internal notes: Scraped from Google Maps detail page."
Veteran's Plumbing & Drain LLC,Veteran's Plumbing & Drain LLC,(602) 291-6474,"2005 S 81st Dr, Phoenix, AZ 85043",Phoenix,AZ,,,"Pre-qualified outbound lead from the no-website website pipeline.
Trade: Plumber
Business status: open
Website verification: verified_no_website
Verification notes: No website on Google Maps and no likely official website found in web search.
Google Maps: https://www.google.com/maps/place/Veteran%27s+Plumbing+%26+Drain+LLC/data=!4m7!3m6!1s0x872b13768f283947:0x47ba045c07a2d3cb!8m2!3d33.4299166!4d-112.2350253!16s%2Fg%2F11bz_zswmv!19sChIJRzkoj3YTK4cRy9OiB1wEukc?authuser=0
Source query: plumber in Phoenix AZ
Internal notes: Scraped from Google Maps detail page."
AZ Water Heater Pros,AZ Water Heater Pros,(602) 739-9948,,Phoenix,AZ,,,"Pre-qualified outbound lead from the no-website website pipeline.
Trade: Water Heater Repair
Business status: open
Website verification: verified_no_website
Verification notes: No website on Google Maps and no likely official website found in web search.
Google Maps: https://www.google.com/maps/place/AZ+Water+Heater+Pros/data=!4m7!3m6!1s0x872ba5563909d815:0x83166a39efbf5974!8m2!3d33.2766146!4d-112.18749!16s%2Fg%2F11qp55c12x!19sChIJFdgJOValK4cRdFm_7zlqFoM?authuser=0
Source query: water heater repair in Phoenix AZ
Internal notes: Scraped from Google Maps detail page."
New Plumbing Phoenix,New Plumbing Phoenix,(480) 956-6332,"3811 E Bell Rd Ste. #114, Phoenix, AZ 85032",Phoenix,AZ,,,"Pre-qualified outbound lead from the no-website website pipeline.
Trade: Water Heater Repair
Business status: open
Website verification: verified_no_website
Verification notes: No website on Google Maps and no likely official website found in web search.
Google Maps: https://www.google.com/maps/place/New+Plumbing+Phoenix/data=!4m7!3m6!1s0x872b712f3d67fd21:0x79d26c099f271a1e!8m2!3d33.6399599!4d-111.9989212!16s%2Fg%2F11zk27v6yr!19sChIJIf1nPS9xK4cRHhonnwls0nk?authuser=0
Source query: water heater repair in Phoenix AZ
Internal notes: Scraped from Google Maps detail page."
The Water Heater Guy,The Water Heater Guy,(480) 980-8293,,Phoenix,AZ,,,"Pre-qualified outbound lead from the no-website website pipeline.
Trade: Water Heater Repair
Business status: open
Website verification: verified_no_website
Verification notes: No website on Google Maps and no likely official website found in web search.
Google Maps: https://www.google.com/maps/place/The+Water+Heater+Guy/data=!4m7!3m6!1s0x872ba9a73d8fef3d:0xeb5d18a68bef199!8m2!3d33.274751!4d-111.891768!16s%2Fg%2F11f5v8_dfx!19sChIJPe-PPaepK4cRmfG-aIrRtQ4?authuser=0
Source query: water heater repair in Phoenix AZ
Internal notes: Scraped from Google Maps detail page."
Vaughan Family Water Heaters,Vaughan Family Water Heaters,(602) 353-7620,"2248 Grand Ave #7500, Phoenix, AZ 85009",Phoenix,AZ,,,"Pre-qualified outbound lead from the no-website website pipeline.
Trade: Water Heater Repair
Business status: open
Website verification: verified_no_website
Verification notes: No website on Google Maps and no likely official website found in web search.
Google Maps: https://www.google.com/maps/place/Vaughan+Family+Water+Heaters/data=!4m7!3m6!1s0x872b138b2ffa0f87:0x6dd2df729506915e!8m2!3d33.4763918!4d-112.1116807!16s%2Fg%2F11jx5txr73!19sChIJhw_6L4sTK4cRXpEGlXLf0m0?authuser=0
Source query: water heater repair in Phoenix AZ
Internal notes: Scraped from Google Maps detail page."
Water Heater Central Phx,Water Heater Central Phx,(602) 782-0656,,Phoenix,AZ,,,"Pre-qualified outbound lead from the no-website website pipeline.
Trade: Water Heater Repair
Business status: open
Website verification: verified_no_website
Verification notes: No website on Google Maps and no likely official website found in web search.
Google Maps: https://www.google.com/maps/place/Water+Heater+Central+Phx/data=!4m7!3m6!1s0x872b715616c2ba47:0x11d41e0eb75b5c97!8m2!3d33.5521125!4d-112.05962!16s%2Fg%2F11ghzlpf4b!19sChIJR7rCFlZxK4cRl1xbtw4e1BE?authuser=0
Source query: water heater repair in Phoenix AZ
Internal notes: Scraped from Google Maps detail page."
Water Heaters West,Water Heaters West,(480) 228-0299,,Phoenix,AZ,,,"Pre-qualified outbound lead from the no-website website pipeline.
Trade: Water Heater Repair
Business status: open
Website verification: verified_no_website
Verification notes: No website on Google Maps and no likely official website found in web search.
Google Maps: https://www.google.com/maps/place/Water+Heaters+West/data=!4m7!3m6!1s0x872ba98288454b5b:0x647c1c6d4ddc336c!8m2!3d33.274751!4d-111.891768!16s%2Fg%2F11cn95kq5h!19sChIJW0tFiIKpK4cRbDPcTW0cfGQ?authuser=0
Source query: water heater repair in Phoenix AZ
Internal notes: Scraped from Google Maps detail page."
Water Heaters-Plus,Water Heaters-Plus,(623) 337-1267,,Phoenix,AZ,,,"Pre-qualified outbound lead from the no-website website pipeline.
Trade: Water Heater Repair
Business status: open
Website verification: verified_no_website
Verification notes: No website on Google Maps and no likely official website found in web search.
Google Maps: https://www.google.com/maps/place/Water+Heaters-Plus/data=!4m7!3m6!1s0x24d950c6a9c44ef5:0xf97b9e5e5e8f8d36!8m2!3d33.466465!4d-112.162682!16s%2Fg%2F11tp6nlyyt!19sChIJ9U7EqcZQ2SQRNo2PXl6ee_k?authuser=0
Source query: water heater repair in Phoenix AZ
Internal notes: Scraped from Google Maps detail page."
A & M Affordable Landscaping LLC,A & M Affordable Landscaping LLC,(520) 237-6762,"10825 S Cherokee Ln, Tucson, AZ 85736",Tucson,AZ,,,"Pre-qualified outbound lead from the no-website website pipeline.
Trade: Landscaper
Business status: open
Website verification: verified_no_website
Verification notes: No website on Google Maps and no likely official website found in web search.
Google Maps: https://www.google.com/maps/place/A+%26+M+Affordable+Landscaping+LLC/data=!4m7!3m6!1s0x86d5d1be05b7847f:0xa712c138f61e00f7!8m2!3d32.0538635!4d-111.2724264!16s%2Fg%2F11fk1nzgxl!19sChIJf4S3Bb7R1YYR9wAe9jjBEqc?authuser=0
Source query: landscaper in Tucson AZ
Internal notes: Scraped from Google Maps detail page."
A&J Hardscapes Custom landscapes,A&J Hardscapes Custom landscapes,(520) 336-5789,,Tucson,AZ,,,"Pre-qualified outbound lead from the no-website website pipeline.
Trade: Landscaper
Business status: open
Website verification: verified_no_website
Verification notes: No website on Google Maps and no likely official website found in web search.
Google Maps: https://www.google.com/maps/place/A%26J+Hardscapes+Custom+landscapes/data=!4m7!3m6!1s0x4c8563db7fa5cb53:0x50edb3358c87b4b7!8m2!3d32.0884925!4d-110.8480506!16s%2Fg%2F11s5c_zny0!19sChIJU8ulf9tjhUwRt7SHjDWz7VA?authuser=0
Source query: landscaper in Tucson AZ
Internal notes: Scraped from Google Maps detail page."
All Yard Work,All Yard Work,(520) 331-5188,"7509 E 27th St, Tucson, AZ 85710",Tucson,AZ,,,"Pre-qualified outbound lead from the no-website website pipeline.
Trade: Landscaper
Business status: open
Website verification: verified_no_website
Verification notes: No website on Google Maps and no likely official website found in web search.
Google Maps: https://www.google.com/maps/place/All+Yard+Work/data=!4m7!3m6!1s0x86d665db1b5440b1:0x2adcebe79de3c47!8m2!3d32.2031!4d-110.83189!16s%2Fg%2F11f3xf6xxx!19sChIJsUBUG9tl1oYRRzzeeb7OrQI?authuser=0
Source query: landscaper in Tucson AZ
Internal notes: Scraped from Google Maps detail page."
Arizona Ponds and Landscaping,Arizona Ponds and Landscaping,(520) 609-6386,"428 W Pelaar Dr, Tucson, AZ 85705",Tucson,AZ,,,"Pre-qualified outbound lead from the no-website website pipeline.
Trade: Landscaper
Business status: open
Website verification: verified_no_website
Verification notes: No website on Google Maps and no likely official website found in web search.
Google Maps: https://www.google.com/maps/place/Arizona+Ponds+and+Landscaping/data=!4m7!3m6!1s0x86d673e8a3e10001:0x3dabf8e3b4262139!8m2!3d32.2761119!4d-110.9792692!16s%2Fg%2F11t9_t6w0d!19sChIJAQDho-hz1oYROSEmtOP4qz0?authuser=0
Source query: landscaper in Tucson AZ
Internal notes: Scraped from Google Maps detail page."
Canyon Valley Landscape,Canyon Valley Landscape,(520) 278-7374,"8169 E Mesquite Ridge Cir, Tucson, AZ 85710",Tucson,AZ,,,"Pre-qualified outbound lead from the no-website website pipeline.
Trade: Landscaper
Business status: open
Website verification: verified_no_website
Verification notes: No website on Google Maps and no likely official website found in web search.
Google Maps: https://www.google.com/maps/place/Canyon+Valley+Landscape/data=!4m7!3m6!1s0x86d671bd73bf09cd:0x632e87539ec4adab!8m2!3d32.2188066!4d-110.8180856!16s%2Fg%2F11g03zvc87!19sChIJzQm_c71x1oYRq63EnlOHLmM?authuser=0
Source query: landscaper in Tucson AZ
Internal notes: Scraped from Google Maps detail page."
Cardinal,Cardinal,(520) 351-2360,"2310 Irvington Pl Sp.1, Tucson, AZ 85746",Tucson,AZ,,,"Pre-qualified outbound lead from the no-website website pipeline.
Trade: Landscaper
Business status: open
Website verification: verified_no_website
Verification notes: No website on Google Maps and no likely official website found in web search.
Google Maps: https://www.google.com/maps/place/Cardinal/data=!4m7!3m6!1s0x86d6790360f10b5b:0x11067dc5d45b2262!8m2!3d32.1635458!4d-111.0164262!16s%2Fg%2F11fk1q81gg!19sChIJWwvxYAN51oYRYiJb1MV9BhE?authuser=0
Source query: landscaper in Tucson AZ
Internal notes: Scraped from Google Maps detail page."
Catarina Landscaping LLC,Catarina Landscaping LLC,(520) 405-2527,,Tucson,AZ,,,"Pre-qualified outbound lead from the no-website website pipeline.
Trade: Landscaper
Business status: open
Website verification: verified_no_website
Verification notes: No website on Google Maps and no likely official website found in web search.
Google Maps: https://www.google.com/maps/place/Catarina+Landscaping+LLC/data=!4m7!3m6!1s0x667ec2feb26e0fbb:0xfc9a25df72ee75b2!8m2!3d32.250942!4d-110.9987685!16s%2Fg%2F11mkjm18d9!19sChIJuw9usv7CfmYRsnXuct8lmvw?authuser=0
Source query: landscaper in Tucson AZ
Internal notes: Scraped from Google Maps detail page."
Copper Stone Landscaping LLC,Copper Stone Landscaping LLC,(520) 257-8672,"425 S Plumer Ave suite #105, Tucson, AZ 85719",Tucson,AZ,,,"Pre-qualified outbound lead from the no-website website pipeline.
Trade: Landscaper
Business status: open
Website verification: verified_no_website
Verification notes: No website on Google Maps and no likely official website found in web search.
Google Maps: https://www.google.com/maps/place/Copper+Stone+Landscaping+LLC/data=!4m7!3m6!1s0x86d671a1b4fb64e5:0xba2f3b136fca8ae6!8m2!3d32.2168742!4d-110.9392865!16s%2Fg%2F11nntzp8c1!19sChIJ5WT7tKFx1oYR5orKbxM7L7o?authuser=0
Source query: landscaper in Tucson AZ
Internal notes: Scraped from Google Maps detail page."
Gifted hands landscaping and more,Gifted hands landscaping and more,(520) 910-2565,,Tucson,AZ,,,"Pre-qualified outbound lead from the no-website website pipeline.
Trade: Landscaper
Business status: open
Website verification: verified_no_website
Verification notes: No website on Google Maps and no likely official website found in web search.
Google Maps: https://www.google.com/maps/place/Gifted+hands+landscaping+and+more/data=!4m7!3m6!1s0x8f1c4b16544ea311:0x1f50a11eb9424ed0!8m2!3d32.2225435!4d-110.8480506!16s%2Fg%2F11wn4hdqx5!19sChIJEaNOVBZLHI8R0E5CuR6hUB8?authuser=0
Source query: landscaper in Tucson AZ
Internal notes: Scraped from Google Maps detail page."
Mountain View Landscaping,Mountain View Landscaping,(520) 302-1095,"1731 E Glenn St, Tucson, AZ 85719",Tucson,AZ,,,"Pre-qualified outbound lead from the no-website website pipeline.
Trade: Landscaper
Business status: open
Website verification: verified_no_website
Verification notes: No website on Google Maps and no likely official website found in web search.
Google Maps: https://www.google.com/maps/place/Mountain+View+Landscaping/data=!4m7!3m6!1s0x86d671874b3329d3:0xa83c1c4a6c2d4a30!8m2!3d32.257825!4d-110.9458596!16s%2Fg%2F11f87my39y!19sChIJ0ykzS4dx1oYRMEotbEocPKg?authuser=0
Source query: landscaper in Tucson AZ
Internal notes: Scraped from Google Maps detail page."
Tucson Landscaping Company LLC,Tucson Landscaping Company LLC,(520) 551-6718,"3238 W Avenida Manana #8256, Tucson, AZ 85746",Tucson,AZ,,,"Pre-qualified outbound lead from the no-website website pipeline.
Trade: Landscaper
Business status: open
Website verification: verified_no_website
Verification notes: No website on Google Maps and no likely official website found in web search.
Google Maps: https://www.google.com/maps/place/Tucson+Landscaping+Company+LLC/data=!4m7!3m6!1s0x86d67971d5fe0f73:0xfe464eca981aa21a!8m2!3d32.1216269!4d-111.0359998!16s%2Fg%2F11f5k23v6m!19sChIJcw_-1XF51oYRGqIamMpORv4?authuser=0
Source query: landscaper in Tucson AZ
Internal notes: Scraped from Google Maps detail page."
YardSmart Landscape,YardSmart Landscape,(520) 818-4550,,Tucson,AZ,,,"Pre-qualified outbound lead from the no-website website pipeline.
Trade: Landscaper
Business status: open
Website verification: verified_no_website
Verification notes: No website on Google Maps and no likely official website found in web search.
Google Maps: https://www.google.com/maps/place/YardSmart+Landscape/data=!4m7!3m6!1s0x4020080497caec77:0xddb0f468464f216d!8m2!3d32.1347769!4d-110.9643165!16s%2Fg%2F11y5tszqt9!19sChIJd-zKlwQIIEARbSFPRmj0sN0?authuser=0
Source query: landscaper in Tucson AZ
Internal notes: Scraped from Google Maps detail page."
24/7 Plumbing Tucson,24/7 Plumbing Tucson,(520) 622-5167,"7121 N Vía Venezia, Tucson, AZ 85704",Tucson,AZ,,,"Pre-qualified outbound lead from the no-website website pipeline.
Trade: Plumber
Business status: open
Website verification: verified_no_website
Verification notes: No website on Google Maps and no likely official website found in web search.
Google Maps: https://www.google.com/maps/place/24%2F7+Plumbing+Tucson/data=!4m7!3m6!1s0x86d6734410dc8d87:0x3239fc35ab885be8!8m2!3d32.3358877!4d-110.9814115!16s%2Fg%2F1262pbj4y!19sChIJh43cEERz1oYR6FuIqzX8OTI?authuser=0
Source query: plumber in Tucson AZ
Internal notes: Scraped from Google Maps detail page."
A-S Plumbing Specialties,A-S Plumbing Specialties,(520) 624-2223,"2313 S 4th Ave, Tucson, AZ 85713",Tucson,AZ,,,"Pre-qualified outbound lead from the no-website website pipeline.
Trade: Plumber
Business status: open
Website verification: verified_no_website
Verification notes: No website on Google Maps and no likely official website found in web search.
Google Maps: https://www.google.com/maps/place/A-S+Plumbing+Specialties/data=!4m7!3m6!1s0x86d67091a4f81121:0x80b20ccfcecefb10!8m2!3d32.1951272!4d-110.9649857!16s%2Fg%2F1wbry6qw!19sChIJIRH4pJFw1oYREPvOzs8MsoA?authuser=0
Source query: plumber in Tucson AZ
Internal notes: Scraped from Google Maps detail page."
Allstar Plumber Tucson AZ,Allstar Plumber Tucson AZ,(520) 873-9409,"7801 E 22nd St, Tucson, AZ 85710",Tucson,AZ,,,"Pre-qualified outbound lead from the no-website website pipeline.
Trade: Plumber
Business status: open
Website verification: verified_no_website
Verification notes: No website on Google Maps and no likely official website found in web search.
Google Maps: https://www.google.com/maps/place/Allstar+Plumber+Tucson+AZ/data=!4m7!3m6!1s0x8a8bd3bbc8b9dd3d:0x4074b9495ad4a398!8m2!3d32.2074402!4d-110.8318184!16s%2Fg%2F11s34jy67q!19sChIJPd25yLvTi4oRmKPUWkm5dEA?authuser=0
Source query: plumber in Tucson AZ
Internal notes: Scraped from Google Maps detail page."
Day and Knight Plumbing and Drain,Day and Knight Plumbing and Drain,(520) 904-2230,"1099 S Pantano Rd #17356, Tucson, AZ 85710",Tucson,AZ,,,"Pre-qualified outbound lead from the no-website website pipeline.
Trade: Plumber
Business status: open
Website verification: verified_no_website
Verification notes: No website on Google Maps and no likely official website found in web search.
Google Maps: https://www.google.com/maps/place/Day+and+Knight+Plumbing+and+Drain/data=!4m7!3m6!1s0x86d66f01da873217:0x4a949075a99aeae6!8m2!3d32.2081275!4d-110.8227983!16s%2Fg%2F11f63yfrz3!19sChIJFzKH2gFv1oYR5uqaqXWQlEo?authuser=0
Source query: plumber in Tucson AZ
Internal notes: Scraped from Google Maps detail page."
George C Huff Plumbing Contractor,George C Huff Plumbing Contractor,(520) 795-2910,"4241 E Grant Rd, Tucson, AZ 85712",Tucson,AZ,,,"Pre-qualified outbound lead from the no-website website pipeline.
Trade: Plumber
Business status: open
Website verification: verified_no_website
Verification notes: No website on Google Maps and no likely official website found in web search.
Google Maps: https://www.google.com/maps/place/George+C+Huff+Plumbing+Contractor/data=!4m7!3m6!1s0x86d66e274ebb1c1d:0x16a55db402764c31!8m2!3d32.2508187!4d-110.9019071!16s%2Fg%2F1w2yzx3q!19sChIJHRy7Tidu1oYRMUx2ArRdpRY?authuser=0
Source query: plumber in Tucson AZ
Internal notes: Scraped from Google Maps detail page."
Paul's Plumbers,Paul's Plumbers,(520) 422-8821,"1360 W Irvington Rd #8100, Tucson, AZ 85746",Tucson,AZ,,,"Pre-qualified outbound lead from the no-website website pipeline.
Trade: Plumber
Business status: open
Website verification: verified_no_website
Verification notes: No website on Google Maps and no likely official website found in web search.
Google Maps: https://www.google.com/maps/place/Paul%27s+Plumbers/data=!4m7!3m6!1s0x86d67b3ff80c71e3:0xc83522127b6e4fc1!8m2!3d32.164373!4d-110.9936944!16s%2Fg%2F11hk6srwws!19sChIJ43EM-D971oYRwU9uexIiNcg?authuser=0
Source query: plumber in Tucson AZ
Internal notes: Scraped from Google Maps detail page."
Plumb Plumbing,Plumb Plumbing,(520) 629-0504,"19 W Ventura St, Tucson, AZ 85705",Tucson,AZ,,,"Pre-qualified outbound lead from the no-website website pipeline.
Trade: Plumber
Business status: open
Website verification: verified_no_website
Verification notes: No website on Google Maps and no likely official website found in web search.
Google Maps: https://www.google.com/maps/place/Plumb+Plumbing/data=!4m7!3m6!1s0x86d67140cb27068d:0x66a7c7901324268c!8m2!3d32.2457167!4d-110.9726527!16s%2Fg%2F1tlwg299!19sChIJjQYny0Bx1oYRjCYkE5DHp2Y?authuser=0
Source query: plumber in Tucson AZ
Internal notes: Scraped from Google Maps detail page."
Right Way Plumbing LLC,Right Way Plumbing LLC,(520) 799-9400,"3350 E Drexel Rd, Tucson, AZ 85706",Tucson,AZ,,,"Pre-qualified outbound lead from the no-website website pipeline.
Trade: Plumber
Business status: open
Website verification: verified_no_website
Verification notes: No website on Google Maps and no likely official website found in web search.
Google Maps: https://www.google.com/maps/place/Right+Way+Plumbing+LLC/data=!4m7!3m6!1s0x86d67ad9322bcb03:0x3d984cd6b2da66da!8m2!3d32.1484587!4d-110.9205114!16s%2Fg%2F1thzpbl1!19sChIJA8srMtl61oYR2mbastZMmD0?authuser=0
Source query: plumber in Tucson AZ
Internal notes: Scraped from Google Maps detail page."
